"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","35-39",37.5,17.5,"15-19 years","diabetes",0.00316392316577103,0.00138122069909166,0.000371708390643199,0.00578844979628624
"India","Male","35-39",37.5,22.5,"20-24 years","diabetes",0.00316392316577103,0.00138122069909166,0.000371708390643199,0.00578844979628624
"India","Male","35-39",37.5,27.5,"25-29 years","diabetes",0.00316392316577103,0.00138122069909166,0.000371708390643199,0.00578844979628624
"India","Male","40-44",42.5,2.5,"0-4 years","diabetes",0.00117815934527067,0.000511081258870964,0.000184605634718663,0.00217869410830945
"India","Male","40-44",42.5,7.5,"5-9 years","diabetes",0.00202135181786635,0.000876855101004105,0.00031672535368398,0.00373795557798191
"India","Male","40-44",42.5,12.5,"10-14 years","diabetes",0.00231011636327583,0.00100212011543326,0.000361971832781692,0.00427194923197933
"India","Male","40-44",42.5,17.5,"15-19 years","diabetes",0.00231011636327583,0.00100212011543326,0.000361971832781692,0.00427194923197933
"India","Male","40-44",42.5,22.5,"20-24 years","diabetes",0.00231011636327583,0.00100212011543326,0.000361971832781692,0.00427194923197933
"India","Male","40-44",42.5,27.5,"25-29 years","diabetes",0.00231011636327583,0.00100212011543326,0.000361971832781692,0.00427194923197933
"India","Male","45-49",47.5,2.5,"0-4 years","diabetes",0.00328256501496632,0.00134218261981766,0.000374905996719279,0.005678910683519
"India","Male","45-49",47.5,7.5,"5-9 years","diabetes",0.00563185174136377,0.00230276429870678,0.000643221072802686,0.00974322911388065
"India","Male","45-49",47.5,12.5,"10-14 years","diabetes",0.00643640199013003,0.00263173062709346,0.000735109797488784,0.0111351189872922
"India","Male","45-49",47.5,17.5,"15-19 years","diabetes",0.00643640199013003,0.00263173062709346,0.000735109797488784,0.0111351189872922
"India","Male","45-49",47.5,22.5,"20-24 years","diabetes",0.00643640199013003,0.00263173062709346,0.000735109797488784,0.0111351189872922
"India","Male","45-49",47.5,27.5,"25-29 years","diabetes",0.00643640199013003,0.00263173062709346,0.000735109797488784,0.0111351189872922
"India","Male","50-54",52.5,2.5,"0-4 years","diabetes",0.0024600712989635,0.00106360515872785,0.000294268400616572,0.00447411404880913
"India","Male","50-54",52.5,7.5,"5-9 years","diabetes",0.00422071056194719,0.0018248127723272,0.000504872255959805,0.00767617606413331
"India","Male","50-54",52.5,12.5,"10-14 years","diabetes",0.00482366921365394,0.00208550031123108,0.000576996863954062,0.00877277264472378
"India","Male","50-54",52.5,17.5,"15-19 years","diabetes",0.00482366921365394,0.00208550031123108,0.000576996863954062,0.00877277264472378
"India","Male","50-54",52.5,22.5,"20-24 years","diabetes",0.00482366921365394,0.00208550031123108,0.000576996863954062,0.00877277264472378
"India","Male","50-54",52.5,27.5,"25-29 years","diabetes",0.00482366921365394,0.00208550031123108,0.000576996863954062,0.00877277264472378
"India","Male","55-59",57.5,2.5,"0-4 years","diabetes",0.00245969839960755,0.000992781588409798,0.000512095151698656,0.00441721187146427
"India","Male","55-59",57.5,7.5,"5-9 years","diabetes",0.0042200707836404,0.00170330174482073,0.0008785946230124,0.00757854977947301
"India","Male","55-59",57.5,12.5,"10-14 years","diabetes",0.00482293803844618,0.00194663056550941,0.0010041081405856,0.00866119974796915
"India","Male","55-59",57.5,17.5,"15-19 years","diabetes",0.00482293803844618,0.00194663056550941,0.0010041081405856,0.00866119974796915
"India","Male","55-59",57.5,22.5,"20-24 years","diabetes",0.00482293803844618,0.00194663056550941,0.0010041081405856,0.00866119974796915
"India","Male","55-59",57.5,27.5,"25-29 years","diabetes",0.00482293803844618,0.00194663056550941,0.0010041081405856,0.00866119974796915
"India","Male","60-64",62.5,2.5,"0-4 years","diabetes",0.00198754241948146,0.000839494898857366,0.000341991696430276,0.00363493936815832
"India","Male","60-64",62.5,7.5,"5-9 years","diabetes",0.00340999924911034,0.00144030987549058,0.000586750459561748,0.00623641558262456
"India","Male","60-64",62.5,12.5,"10-14 years","diabetes",0.00389714199898325,0.00164606842913209,0.000670571953784854,0.00712733209442807
"India","Male","60-64",62.5,17.5,"15-19 years","diabetes",0.00389714199898325,0.00164606842913209,0.000670571953784854,0.00712733209442807
"India","Male","60-64",62.5,22.5,"20-24 years","diabetes",0.00389714199898325,0.00164606842913209,0.000670571953784854,0.00712733209442807
"India","Male","60-64",62.5,27.5,"25-29 years","diabetes",0.00389714199898325,0.00164606842913209,0.000670571953784854,0.00712733209442807
"India","Male","65-69",67.5,2.5,"0-4 years","diabetes",0.00200605899547178,0.000830132910337137,0.000166864029130006,0.00364249146666901
"India","Male","65-69",67.5,7.5,"5-9 years","diabetes",0.00344176788438786,0.0014242476402843,0.000286286324487757,0.0062493726143831
"India","Male","65-69",67.5,12.5,"10-14 years","diabetes",0.00393344901072898,0.00162771158889635,0.000327184370843151,0.00714214013072354
"India","Male","65-69",67.5,17.5,"15-19 years","diabetes",0.00393344901072898,0.00162771158889635,0.000327184370843151,0.00714214013072354
"India","Male","65-69",67.5,22.5,"20-24 years","diabetes",0.00393344901072898,0.00162771158889635,0.000327184370843151,0.00714214013072354
"India","Male","65-69",67.5,27.5,"25-29 years","diabetes",0.00393344901072898,0.00162771158889635,0.000327184370843151,0.00714214013072354
"India","Male","70-74",72.5,2.5,"0-4 years","diabetes",0.00107218572195055,0.000459719221867327,0.00018211982843914,0.00197140573950448
"India","Male","70-74",72.5,7.5,"5-9 years","diabetes",0.00183953432687595,0.000788733959086102,0.000312460489969112,0.00338231376875768
"India","Male","70-74",72.5,12.5,"10-14 years","diabetes",0.00210232494500108,0.000901410238955545,0.000357097702821842,0.00386550145000877
"India","Male","70-74",72.5,17.5,"15-19 years","diabetes",0.00210232494500108,0.000901410238955545,0.000357097702821842,0.00386550145000877
"India","Male","70-74",72.5,22.5,"20-24 years","diabetes",0.00210232494500108,0.000901410238955545,0.000357097702821842,0.00386550145000877
"India","Male","70-74",72.5,27.5,"25-29 years","diabetes",0.00210232494500108,0.000901410238955545,0.000357097702821842,0.00386550145000877
"India","Male","75-79",77.5,2.5,"0-4 years","diabetes",0.000762520599302098,0.000331662540741106,8.27356231157102e-05,0.00142571028030875
"India","Male","75-79",77.5,7.5,"5-9 years","diabetes",0.0013082461262536,0.000569028868918565,0.000141948372992639,0.00244607155935326
"India","Male","75-79",77.5,12.5,"10-14 years","diabetes",0.00149513843000411,0.000650318707335503,0.000162226711991588,0.00279551035354658
"India","Male","75-79",77.5,17.5,"15-19 years","diabetes",0.00149513843000411,0.000650318707335503,0.000162226711991588,0.00279551035354658
"India","Male","75-79",77.5,22.5,"20-24 years","diabetes",0.00149513843000411,0.000650318707335503,0.000162226711991588,0.00279551035354658
"India","Male","75-79",77.5,27.5,"25-29 years","diabetes",0.00149513843000411,0.000650318707335503,0.000162226711991588,0.00279551035354658
"India","Male","80+",84.91,2.5,"0-4 years","diabetes",0.000549070059003053,0.000235228015192273,0.000102867811880702,0.00102204891637737
"India","Male","80+",84.91,7.5,"5-9 years","diabetes",0.000942031963975826,0.000403577477045567,0.000176488892932577,0.00175351529770626
"India","Male","80+",84.91,12.5,"10-14 years","diabetes",0.00107660795882952,0.00046123140233779,0.000201701591922945,0.00200401748309287
"India","Male","80+",84.91,17.5,"15-19 years","diabetes",0.00107660795882952,0.00046123140233779,0.000201701591922945,0.00200401748309287
"India","Male","80+",84.91,22.5,"20-24 years","diabetes",0.00107660795882952,0.00046123140233779,0.000201701591922945,0.00200401748309287
"India","Male","80+",84.91,27.5,"25-29 years","diabetes",0.00107660795882952,0.00046123140233779,0.000201701591922945,0.00200401748309287
"India","Male","35-39",37.5,2.5,"0-4 years","IHD",0.00773484101310108,0.00312223046876786,0.000506625810344872,0.0132074935168123
"India","Male","35-39",37.5,7.5,"5-9 years","IHD",0.013270560561693,0.00535676796112132,0.000869210949121105,0.0226599153474721
"India","Male","35-39",37.5,12.5,"10-14 years","IHD",0.0151663549276492,0.0061220205269958,0.000993383941852692,0.0258970461113967
"India","Male","35-39",37.5,17.5,"15-19 years","IHD",0.0151663549276492,0.0061220205269958,0.000993383941852692,0.0258970461113967
"India","Male","35-39",37.5,22.5,"20-24 years","IHD",0.0151663549276492,0.0061220205269958,0.000993383941852692,0.0258970461113967
"India","Male","35-39",37.5,27.5,"25-29 years","IHD",0.0151663549276492,0.0061220205269958,0.000993383941852692,0.0258970461113967
"India","Male","40-44",42.5,2.5,"0-4 years","IHD",0.00520549561329306,0.00234322852871001,1.57543008555947e-05,0.00949588173028393
"India","Male","40-44",42.5,7.5,"5-9 years","IHD",0.00893099737574789,0.00402024502474756,2.70294377424427e-05,0.0162919539490165
"India","Male","40-44",42.5,12.5,"10-14 years","IHD",0.0102068541437119,0.00459456574256865,3.08907859913631e-05,0.0186193759417332
"India","Male","40-44",42.5,17.5,"15-19 years","IHD",0.0102068541437119,0.00459456574256865,3.08907859913631e-05,0.0186193759417332
"India","Male","40-44",42.5,22.5,"20-24 years","IHD",0.0102068541437119,0.00459456574256865,3.08907859913631e-05,0.0186193759417332
"India","Male","40-44",42.5,27.5,"25-29 years","IHD",0.0102068541437119,0.00459456574256865,3.08907859913631e-05,0.0186193759417332
"India","Male","45-49",47.5,2.5,"0-4 years","IHD",0.0113401485522898,0.00509126065010932,0,0.0201555331254613
"India","Male","45-49",47.5,7.5,"5-9 years","IHD",0.0194561372220658,0.00873500601734442,0,0.0345805715387816
"India","Male","45-49",47.5,12.5,"10-14 years","IHD",0.0222355853966466,0.00998286401982219,0,0.039520653187179
"India","Male","45-49",47.5,17.5,"15-19 years","IHD",0.0222355853966466,0.00998286401982219,0,0.039520653187179
"India","Male","45-49",47.5,22.5,"20-24 years","IHD",0.0222355853966466,0.00998286401982219,0,0.039520653187179
"India","Male","45-49",47.5,27.5,"25-29 years","IHD",0.0222355853966466,0.00998286401982219,0,0.039520653187179
"India","Male","50-54",52.5,2.5,"0-4 years","IHD",0.0076881290281099,0.00437524242992905,0,0.0153147377598414
"India","Male","50-54",52.5,7.5,"5-9 years","IHD",0.0131904174501885,0.0075065433846822,0,0.0262752853722768
"India","Male","50-54",52.5,12.5,"10-14 years","IHD",0.0150747628002155,0.00857890672535108,0,0.0300288975683164
"India","Male","50-54",52.5,17.5,"15-19 years","IHD",0.0150747628002155,0.00857890672535108,0,0.0300288975683164
"India","Male","50-54",52.5,22.5,"20-24 years","IHD",0.0150747628002155,0.00857890672535108,0,0.0300288975683164
"India","Male","50-54",52.5,27.5,"25-29 years","IHD",0.0150747628002155,0.00857890672535108,0,0.0300288975683164
"India","Male","55-59",57.5,2.5,"0-4 years","IHD",0.00668497739468392,0.00444783193147082,0,0.0151555519332515
"India","Male","55-59",57.5,7.5,"5-9 years","IHD",0.0114693239614675,0.00763108419615092,0,0.0260021724345001
"India","Male","55-59",57.5,12.5,"10-14 years","IHD",0.0131077988131058,0.00872123908131534,0,0.0297167684965715
"India","Male","55-59",57.5,17.5,"15-19 years","IHD",0.0131077988131058,0.00872123908131534,0,0.0297167684965715
"India","Male","55-59",57.5,22.5,"20-24 years","IHD",0.0131077988131058,0.00872123908131534,0,0.0297167684965715
"India","Male","55-59",57.5,27.5,"25-29 years","IHD",0.0131077988131058,0.00872123908131534,0,0.0297167684965715
"India","Male","60-64",62.5,2.5,"0-4 years","IHD",0.00485652908200484,0.00353900684693295,0,0.0118691888240977
"India","Male","60-64",62.5,7.5,"5-9 years","IHD",0.00833228028775339,0.00607182547267908,0,0.0203638043550697
"India","Male","60-64",62.5,12.5,"10-14 years","IHD",0.00952260604314671,0.00693922911163324,0,0.0232729192629368
"India","Male","60-64",62.5,17.5,"15-19 years","IHD",0.00952260604314671,0.00693922911163324,0,0.0232729192629368
"India","Male","60-64",62.5,22.5,"20-24 years","IHD",0.00952260604314671,0.00693922911163324,0,0.0232729192629368
"India","Male","60-64",62.5,27.5,"25-29 years","IHD",0.00952260604314671,0.00693922911163324,0,0.0232729192629368
"India","Male","65-69",67.5,2.5,"0-4 years","IHD",0.00452580669391336,0.00346517292886937,0,0.0116404130535344
"India","Male","65-69",67.5,7.5,"5-9 years","IHD",0.00776486442583174,0.00594514963286413,0,0.0199712969055737
